00:16:23.816447 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2605400:2605612, ack 1153, win 501, length 212
00:16:23.821563 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2613752:2613964, ack 1153, win 501, length 212
00:16:23.821691 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2613964:2614176, ack 1153, win 501, length 212
00:16:23.821896 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2614176:2614388, ack 1153, win 501, length 212
00:16:23.822038 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2614388:2614600, ack 1153, win 501, length 212
00:16:23.822162 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2614600:2614812, ack 1153, win 501, length 212
00:16:23.822320 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2614812:2615024, ack 1153, win 501, length 212
00:16:23.822442 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2615024:2615236, ack 1153, win 501, length 212
00:16:23.822580 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2615236:2615448, ack 1153, win 501, length 212
00:16:23.822703 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2615448:2615660, ack 1153, win 501, length 212
00:16:23.822853 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2615660:2615872, ack 1153, win 501, length 212
00:16:23.823020 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2615872:2616084, ack 1153, win 501, length 212
00:16:23.823153 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2616084:2616296, ack 1153, win 501, length 212
00:16:23.823278 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2616296:2616508, ack 1153, win 501, length 212
00:16:23.823402 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2616508:2616720, ack 1153, win 501, length 212
00:16:23.823525 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2616720:2616932, ack 1153, win 501, length 212
00:16:23.823649 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2616932:2617144, ack 1153, win 501, length 212
00:16:23.823856 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2617144:2617356, ack 1153, win 501, length 212
00:16:23.823985 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2617356:2617568, ack 1153, win 501, length 212
00:16:23.824117 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2617568:2617780, ack 1153, win 501, length 212
00:16:23.824243 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2617780:2617992, ack 1153, win 501, length 212
00:16:23.824368 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2617992:2618204, ack 1153, win 501, length 212
00:16:23.824467 IP cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855 > comp3134Winter2022.ssh: Flags [P.], seq 1153:1225, ack 2599532, win 243, length 72
^Z
[8]+  Stopped                 tcpdump -i eth0 port 22
